source_file,source_relative_path,duration_seconds,reviewed,review_method,analysis_status,valid_games,records_written,match_id,clip_start_seconds,clip_end_seconds,confidence,reason,notes
match_012.mp4,match_012.mp4,79.533625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_012,12,65,high,,
match_013.mp4,match_013.mp4,137.633625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_013,15,123,high,,
match_014.mp4,match_014.mp4,93.233625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_014,15,79,high,,
match_015.mp4,match_015.mp4,96.432625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_015,11,83,high,,
match_016.mp4,match_016.mp4,114.700625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_016,15,100,high,,
match_017.mp4,match_017.mp4,166.032625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),uncertain,1,1,august31_2550_match_017,12,151,medium,,
match_018.mp4,match_018.mp4,143.366625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_018,15,129,high,,
match_019.mp4,match_019.mp4,134.632625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_019,12,119.5,high,,
match_020.mp4,match_020.mp4,119.499625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_020,12,104.5,high,,
match_021.mp4,match_021.mp4,46.166625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_022.mp4,match_022.mp4,30.733625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_023.mp4,match_023.mp4,41.067625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_024.mp4,match_024.mp4,37.266625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_025.mp4,match_025.mp4,33.166625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_026.mp4,match_026.mp4,27.932625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),excluded_non_evidentiary_2v2,0,0,,,,,Arena ends with Gold victory before meaningful combat; no opposing pair established and no enemy combat frames appear,
match_027.mp4,match_027.mp4,106.899625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_027,15,91,high,,
match_028.mp4,match_028.mp4,132.332625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_028,15,117,high,,
match_029.mp4,match_029.mp4,230.166625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_029,12,214.5,high,,
match_030.mp4,match_030.mp4,139.766625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),uncertain,1,1,august31_2550_match_030,15,124.5,medium,,"Contains meaningful contested combat, but no lethal conversion established"
match_031.mp4,match_031.mp4,98.400625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_031,12,83,high,,
match_032.mp4,match_032.mp4,181.667625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_032,12,166,high,,
